,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.001,0.1798237423726735,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.001,0.1798237423726735,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.001,0.2624904090393402,0.0,0.6666666666666666
2024-01-01 00:45:00,0.001,0.001,0.001,0.40389040903934015,0.0,0.6666666666666666
2024-01-01 01:00:00,0.001,0.001,0.001,0.18869808180786804,0.0,0.3333333333333333
2024-01-01 01:15:00,0.001,0.001,0.001,0.047,0.0,0.3333333333333333
2024-01-01 01:30:00,0.001,0.001,0.001,0.047,0.0,1.3333333333333333
2024-01-01 01:45:00,0.001,0.001,0.001,0.047,0.0,1.3333333333333333
2024-01-01 02:00:00,0.001,0.001,0.001,0.16066666666666668,0.0,0.3333333333333333
2024-01-01 02:15:00,0.001,0.001,0.001,0.338,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.001,0.161,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.001,0.047,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.001,0.047,0.0,0.3333333333333333
2024-01-01 03:15:00,0.001,0.001,0.001,0.047,0.0,1.0
2024-01-01 03:30:00,0.001,0.001,0.001,0.20433333333333337,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.001,0.31966666666666665,0.0,0.3333333333333333
2024-01-01 04:00:00,0.001,0.001,0.001,0.13566666666666669,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.001,0.047,2.6666666666666665,0.3333333333333333
2024-01-01 04:30:00,0.001,0.001,0.001,0.047,1.6,0.0
2024-01-01 04:45:00,0.001,0.001,0.001,0.06766666666666668,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.001,0.24000000000000002,3.2,0.3333333333333333
2024-01-01 05:15:00,0.001,0.001,0.001,0.2886666666666667,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.001,0.11033333333333334,2.6666666666666665,2.0
2024-01-01 05:45:00,0.001,0.001,0.001,0.047,4.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.001,0.047,4.0,1.0
