,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.08466666666666667,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.09933333333333333,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.14333333333333334,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.15066666666666664,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.09200000000000001,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 03:15:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 03:30:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.09200000000000001,0.0,0.2
2024-01-01 04:00:00,0.001,0.001,0.0,0.15066666666666667,0.0,0.4
2024-01-01 04:15:00,0.001,0.001,0.0,0.048,3.2,0.2
2024-01-01 04:30:00,0.001,0.001,0.0,0.048,0.0,0.4
2024-01-01 04:45:00,0.001,0.001,0.0,0.048,0.0,0.6
2024-01-01 05:00:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 05:15:00,0.001,0.001,0.0,0.14333333333333334,3.2,0.8
2024-01-01 05:30:00,0.001,0.001,0.0,0.09933333333333333,1.6,0.2
2024-01-01 05:45:00,0.001,0.001,0.0,0.048,0.0,2.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.048,2.4,0.2
2024-01-01 06:15:00,0.001,0.001,0.0,0.048,4.0,0.6
2024-01-01 06:30:00,0.001,0.001,0.0,0.6177333333333334,4.0,0.6
2024-01-01 06:45:00,0.001,0.001,0.0,0.16706666666666667,4.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.082,4.0,0.2
2024-01-01 07:15:00,0.001,0.001,0.0,0.07746666666666667,3.7333333333333334,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.5810666666666667,0.0,0.2
2024-01-01 07:45:00,0.001,0.001,0.0,0.048,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.136,0.0,0.2
2024-01-01 08:15:00,0.001,0.001,0.0,0.7464,3.466666666666667,1.6
2024-01-01 08:30:00,0.001,0.001,0.0,2.0204666666666666,2.1333333333333333,1.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.048,0.0,0.6
2024-01-01 09:00:00,0.001,0.001,0.0,1.6041333333333332,0.0,0.2
2024-01-01 09:15:00,0.001,0.001,0.0,1.9163999999999999,0.0,0.4
2024-01-01 09:30:00,0.001,0.001,0.0,0.158,3.2,0.8
2024-01-01 09:45:00,0.001,0.001,0.0,0.05533333333333334,0.26666666666666666,0.2
2024-01-01 10:00:00,0.001,0.001,0.0,2.1271333333333335,0.0,1.8
2024-01-01 10:15:00,0.001,0.001,0.0,0.5277999999999999,0.0,0.4
2024-01-01 10:30:00,0.001,0.001,0.0,0.048,0.0,1.6
2024-01-01 10:45:00,0.001,0.001,0.0,0.12866666666666665,0.0,0.2
2024-01-01 11:00:00,0.001,0.001,0.0,0.114,0.8,1.6
2024-01-01 11:15:00,0.001,0.001,0.0,0.048,3.2,1.0
2024-01-01 11:30:00,0.001,0.001,0.0,0.5810666666666667,0.0,0.2
2024-01-01 11:45:00,0.001,0.001,0.0,0.048,0.0,0.2
2024-01-01 12:00:00,0.001,0.001,0.0,0.6101609120902708,0.0,0.2
2024-01-01 12:15:00,0.001,0.001,0.0,0.4364904090393402,0.0,0.0
2024-01-01 12:30:00,0.001,0.001,0.0,2.0744904090393406,0.0,0.2
2024-01-01 12:45:00,0.001,0.001,0.0,0.5931570757060068,0.0,1.6
2024-01-01 13:00:00,0.001,0.001,0.0,0.45962374237267356,0.0,0.0
2024-01-01 13:15:00,0.001,0.001,0.0,0.15996091209027077,0.8,0.2
2024-01-01 13:30:00,0.001,0.001,0.0,0.24233333333333335,3.2,0.4
2024-01-01 13:45:00,0.001,0.001,0.0,0.7754,0.0,0.8
2024-01-01 14:00:00,0.001,0.001,0.0,0.169,0.0,1.2
2024-01-01 14:15:00,0.001,0.001,0.0,0.169,0.0,0.4
2024-01-01 14:30:00,0.001,0.001,0.0,0.05606666666666667,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.0,0.06266666666666668,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.0,0.158,0.0,0.2
2024-01-01 15:15:00,0.001,0.001,0.0,0.48242087894116575,0.0,1.0
2024-01-01 15:30:00,0.001,0.001,0.0,0.0795521973529143,0.5333333333333333,0.4
2024-01-01 15:45:00,0.001,0.001,0.0,0.0795521973529143,2.6666666666666665,1.4
2024-01-01 16:00:00,0.001,0.001,0.0,0.0795521973529143,0.0,1.8
2024-01-01 16:15:00,0.001,0.001,0.0,0.18173886401958098,0.0,0.4
2024-01-01 16:30:00,0.001,0.001,0.0,0.3022248599516735,0.0,0.0
2024-01-01 16:45:00,0.001,0.001,0.0,0.7454182476275611,0.0,0.2
