,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0,0.001,0.3292521973529143,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.22392294175954153,2.6,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.24336927305892112,1.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.1357321669216716,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.08515707570600685,0.0,1.4
2024-01-01 01:15:00,0.001,0.0,0.001,0.3708237423726735,0.0,1.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.21882374237267352,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.26081966463271294,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.21966666666666665,0.0,1.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.08833333333333335,0.0,0.2
2024-01-01 02:30:00,0.001,0.0,0.001,0.14933333333333332,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.2,0.0,1.6
2024-01-01 03:00:00,0.001,0.0,0.001,0.13666666666666666,0.0,0.4
2024-01-01 03:15:00,0.001,0.0,0.001,0.49846666666666667,0.0,0.6
2024-01-01 03:30:00,0.001,0.0,0.001,0.5810666666666667,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.048,0.0,1.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.22533333333333333,0.0,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.21266666666666667,2.6,0.2
2024-01-01 04:30:00,0.001,0.0,0.001,0.09866666666666667,2.8,0.2
2024-01-01 04:45:00,0.001,0.0,0.001,0.048,0.0,1.4
2024-01-01 05:00:00,0.001,0.0,0.001,0.048,1.2,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.11133333333333333,3.0,0.2
2024-01-01 05:30:00,0.001,0.0,0.001,0.3266666666666666,0.6,0.2
2024-01-01 05:45:00,0.001,0.0,0.001,0.09866666666666667,0.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.44780000000000003,0.0,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.048,0.0,0.6
2024-01-01 06:30:00,0.001,0.0,0.001,0.048,0.0,0.6
2024-01-01 06:45:00,0.001,0.0,0.001,0.289,0.0,0.2
2024-01-01 07:00:00,0.001,0.0,0.001,0.22566666666666665,0.0,1.6
