,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.001,0.4151237423726735,0.0
2024-01-01 00:15:00,0.001,0.001,0.001,0.3175237423726735,0.0
2024-01-01 00:30:00,0.001,0.001,0.001,0.5513237423726736,0.0
2024-01-01 00:45:00,0.001,0.001,0.001,0.4511904090393402,0.0
2024-01-01 01:00:00,0.001,0.001,0.001,0.4072294969490694,0.0
2024-01-01 01:15:00,0.001,0.001,0.001,0.30569999999999997,0.2
2024-01-01 01:30:00,0.001,0.001,0.001,0.30569999999999997,1.2
2024-01-01 01:45:00,0.001,0.001,0.001,0.29869999999999997,0.4
2024-01-01 02:00:00,0.001,0.001,0.001,0.2607,2.2
2024-01-01 02:15:00,0.001,0.001,0.001,0.18469999999999998,0.2
2024-01-01 02:30:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-01 02:45:00,0.001,0.001,0.001,0.18469999999999998,0.4
2024-01-01 03:00:00,0.001,0.001,0.001,0.23536666666666664,0.4
2024-01-01 03:15:00,0.001,0.001,0.001,0.32403333333333334,1.6
2024-01-01 03:30:00,0.001,0.001,0.001,0.18469999999999998,1.6
2024-01-01 03:45:00,0.001,0.001,0.001,0.18469999999999998,0.4
2024-01-01 04:00:00,0.001,0.001,0.001,0.049,0.2
2024-01-01 04:15:00,0.001,0.001,0.001,0.049,1.0
2024-01-01 04:30:00,0.001,0.001,0.001,0.22633333333333333,1.6
2024-01-01 04:45:00,0.001,0.001,0.001,0.06166666666666667,2.0
2024-01-01 05:00:00,0.001,0.001,0.001,0.049,0.0
2024-01-01 05:15:00,0.001,0.001,0.001,0.049,2.0
2024-01-01 05:30:00,0.001,0.001,0.001,0.049,0.4
2024-01-01 05:45:00,0.001,0.001,0.001,0.16299999999999998,0.0
2024-01-01 06:00:00,0.001,0.001,0.001,0.125,0.2
2024-01-01 06:15:00,0.001,0.001,0.001,0.049,0.0
2024-01-01 06:30:00,0.001,0.001,0.001,0.049,0.0
2024-01-01 06:45:00,0.001,0.001,0.001,0.049,0.2
2024-01-01 07:00:00,0.001,0.001,0.001,0.09966666666666667,0.0
2024-01-01 07:15:00,0.001,0.001,0.001,0.3216,0.2
2024-01-01 07:30:00,0.001,0.001,0.001,0.3207333333333333,0.2
2024-01-01 07:45:00,0.001,0.001,0.001,0.06199999999999999,2.2
2024-01-01 08:00:00,0.001,0.001,0.001,0.06199999999999999,3.0
2024-01-01 08:15:00,0.001,0.001,0.001,0.06199999999999999,3.0
2024-01-01 08:30:00,0.001,0.001,0.001,0.2376,3.0
2024-01-01 08:45:00,0.001,0.001,0.001,0.06166666666666667,3.0
2024-01-01 09:00:00,0.001,0.001,0.001,0.049,3.0
2024-01-01 09:15:00,0.001,0.001,0.001,0.049,2.4
2024-01-01 09:30:00,0.001,0.001,0.001,0.049,0.4
2024-01-01 09:45:00,0.001,0.001,0.001,0.16299999999999998,0.0
2024-01-01 10:00:00,0.001,0.001,0.001,0.125,0.2
2024-01-01 10:15:00,0.001,0.001,0.001,0.049,0.2
2024-01-01 10:30:00,0.001,0.001,0.001,0.049,0.2
2024-01-01 10:45:00,0.001,0.001,0.001,0.049,0.4
2024-01-01 11:00:00,0.001,0.001,0.001,0.11776,0.0
2024-01-01 11:15:00,0.001,0.001,0.001,0.32403333333333334,0.0
2024-01-01 11:30:00,0.001,0.001,0.001,0.18469999999999998,0.4
2024-01-01 11:45:00,0.001,0.001,0.001,0.18469999999999998,1.8
2024-01-01 12:00:00,0.001,0.001,0.001,0.18469999999999998,0.6
2024-01-01 12:15:00,0.001,0.001,0.001,0.7177666666666666,2.4
2024-01-01 12:30:00,0.001,0.001,0.001,0.7618333333333334,1.2
2024-01-01 12:45:00,0.001,0.001,0.001,0.19736666666666663,0.0
2024-01-01 13:00:00,0.001,0.001,0.001,0.18469999999999998,0.2
2024-01-01 13:15:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-01 13:30:00,0.001,0.001,0.001,0.18469999999999998,0.2
2024-01-01 13:45:00,0.001,0.001,0.001,0.5691745807908911,1.0
2024-01-01 14:00:00,0.001,0.001,0.001,0.5390570757060068,1.4
2024-01-01 14:15:00,0.001,0.001,0.001,0.1965237423726735,1.0
2024-01-01 14:30:00,0.001,0.001,0.001,0.1965237423726735,0.8
2024-01-01 14:45:00,0.001,0.001,0.001,0.1965237423726735,0.2
2024-01-01 15:00:00,0.001,0.001,0.001,0.7771040777399606,0.0
2024-01-01 15:15:00,0.001,0.001,0.001,0.32403333333333334,0.4
2024-01-01 15:30:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-01 15:45:00,0.001,0.001,0.001,0.18469999999999998,0.0
2024-01-01 16:00:00,0.001,0.001,0.001,0.18469999999999998,0.6
