,DishWasher,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 00:15:00,0.0,0.001,0.082,0.0,0.0
2024-01-01 00:30:00,0.0,0.001,0.14066666666666666,0.0,0.0
2024-01-01 00:45:00,0.0,0.001,0.114,0.0,0.0
2024-01-01 01:00:00,0.0,0.001,0.15195421227449907,0.0,0.6
2024-01-01 01:15:00,0.0,0.001,0.0695521973529143,0.0,2.4
2024-01-01 01:30:00,0.0,0.001,0.14288553068624762,0.0,0.0
2024-01-01 01:45:00,0.0,0.001,0.14288553068624762,0.0,0.0
2024-01-01 02:00:00,0.0,0.001,0.46935219735291434,0.0,0.0
2024-01-01 02:15:00,0.0,0.001,0.24688553068624763,0.0,0.0
2024-01-01 02:30:00,0.0,0.001,0.05903479823527621,0.0,2.0
2024-01-01 02:45:00,0.0,0.001,0.14066666666666666,0.0,1.2
2024-01-01 03:00:00,0.0,0.001,0.082,0.0,0.0
2024-01-01 03:15:00,0.0,0.001,0.038,0.0,3.0
2024-01-01 03:30:00,0.0,0.001,0.12666666666666668,0.0,0.0
2024-01-01 03:45:00,0.0,0.001,0.14866666666666667,0.0,0.0
2024-01-01 04:00:00,0.0,0.001,0.148,0.0,0.0
2024-01-01 04:15:00,0.0,0.001,0.05266666666666666,0.0,0.0
2024-01-01 04:30:00,0.0,0.001,0.038,0.0,1.4
2024-01-01 04:45:00,0.0,0.001,0.038,0.0,1.0
2024-01-01 05:00:00,0.0,0.001,0.26666666666666666,0.0,0.0
2024-01-01 05:15:00,0.0,0.001,0.13333333333333333,0.0,0.0
2024-01-01 05:30:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 05:45:00,0.0,0.001,0.038,0.0,0.4
2024-01-01 06:00:00,0.0,0.001,0.038,0.0,1.6
2024-01-01 06:15:00,0.0,0.001,0.22000000000000003,0.0,0.0
2024-01-01 06:30:00,0.0,0.001,0.193,0.0,1.6
2024-01-01 06:45:00,0.0,0.001,0.5840666666666666,0.0,3.0
2024-01-01 07:00:00,0.0,0.001,0.051,0.0,0.8
2024-01-01 07:15:00,0.0,0.001,0.47119999999999995,0.0,2.6
2024-01-01 07:30:00,0.0,0.001,0.1964,0.0,0.0
2024-01-01 07:45:00,0.0,0.001,0.2416,0.0,0.0
2024-01-01 08:00:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 08:15:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 08:30:00,0.0,0.001,0.06733333333333333,0.0,0.0
2024-01-01 08:45:00,0.0,0.001,0.148,0.0,0.0
2024-01-01 09:00:00,0.0,0.001,0.15933333333333335,0.0,0.0
2024-01-01 09:15:00,0.0,0.001,0.10133333333333333,0.0,0.0
2024-01-01 09:30:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 09:45:00,0.0,0.001,0.09666666666666666,0.0,0.0
2024-01-01 10:00:00,0.0,0.001,0.126,0.0,0.0
2024-01-01 10:15:00,0.0,0.001,0.06333333333333332,0.0,0.2
2024-01-01 10:30:00,0.0,0.001,0.19,0.0,3.0
2024-01-01 10:45:00,0.0,0.001,0.038,0.0,0.6
2024-01-01 11:00:00,0.0,0.001,0.126,0.0,0.0
2024-01-01 11:15:00,0.0,0.001,0.09666666666666666,0.0,0.2
2024-01-01 11:30:00,0.0,0.001,0.1212,0.0,3.0
2024-01-01 11:45:00,0.0,0.001,1.9457333333333333,0.0,2.6
2024-01-01 12:00:00,0.0,0.001,1.2608,0.0,0.4
2024-01-01 12:15:00,0.0,0.001,0.5478,0.0,1.2
2024-01-01 12:30:00,0.0,0.001,0.06733333333333333,0.0,3.0
2024-01-01 12:45:00,0.0,0.001,1.1041333333333332,0.0,3.0
2024-01-01 13:00:00,0.0,0.001,0.07600000000000001,0.0,3.0
2024-01-01 13:15:00,0.0,0.001,0.214,0.0,0.0
2024-01-01 13:30:00,0.0,0.001,0.148,0.0,0.0
2024-01-01 13:45:00,0.0,0.001,0.038,0.0,1.8
2024-01-01 14:00:00,0.0,0.001,0.038,0.0,3.0
2024-01-01 14:15:00,0.0,0.001,0.038,0.0,0.6
2024-01-01 14:30:00,0.0,0.001,0.6431333333333333,0.0,0.0
2024-01-01 14:45:00,0.0,0.001,0.15666666666666668,0.0,0.0
2024-01-01 15:00:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 15:15:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 15:30:00,0.0,0.001,0.03886666666666667,0.0,2.0
2024-01-01 15:45:00,0.0,0.001,0.2938,0.0,0.0
2024-01-01 16:00:00,0.0,0.001,0.35,0.0,0.0
2024-01-01 16:15:00,0.0,0.001,0.172,0.9333333333333333,0.0
2024-01-01 16:30:00,0.0,0.001,0.172,7.0,0.0
2024-01-01 16:45:00,0.0,0.001,0.11,1.8666666666666667,0.0
2024-01-01 17:00:00,0.0,0.001,0.148,0.0,0.0
2024-01-01 17:15:00,0.0,0.001,0.21200000000000002,0.0,0.0
2024-01-01 17:30:00,0.0,0.001,0.06333333333333332,0.0,0.0
2024-01-01 17:45:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 18:00:00,0.0,0.001,0.082,5.133333333333334,0.0
2024-01-01 18:15:00,0.0,0.001,0.14066666666666666,7.0,0.0
2024-01-01 18:30:00,0.0,0.001,0.10133333333333333,7.0,0.0
2024-01-01 18:45:00,0.0,0.001,0.15200000000000002,0.4666666666666667,0.0
2024-01-01 19:00:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 19:15:00,0.0,0.001,0.11133333333333333,0.0,0.0
2024-01-01 19:30:00,0.0,0.001,0.11133333333333333,0.0,0.0
2024-01-01 19:45:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 20:00:00,0.0,0.001,0.20266666666666666,0.0,0.0
2024-01-01 20:15:00,0.0,0.001,0.050666666666666665,0.0,0.0
2024-01-01 20:30:00,0.0,0.001,0.14066666666666666,0.0,0.0
2024-01-01 20:45:00,0.0,0.001,0.082,0.0,0.0
2024-01-01 21:00:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 21:15:00,0.0,0.001,0.114,0.0,0.0
2024-01-01 21:30:00,0.0,0.001,0.16133333333333333,0.0,0.0
2024-01-01 21:45:00,0.0,0.001,0.148,0.0,0.0
2024-01-01 22:00:00,0.0,0.001,0.05266666666666666,0.0,0.0
2024-01-01 22:15:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 22:30:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 22:45:00,0.0,0.001,0.26666666666666666,0.0,0.0
2024-01-01 23:00:00,0.0,0.001,0.13333333333333333,0.0,0.0
2024-01-01 23:15:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 23:30:00,0.0,0.001,0.038,0.0,0.0
2024-01-01 23:45:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 00:00:00,0.0,0.001,0.20733333333333334,0.0,0.0
2024-01-02 00:15:00,0.0,0.001,0.19266666666666668,0.0,0.0
2024-01-02 00:30:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 00:45:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 01:00:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 01:15:00,0.0,0.001,0.148,0.0,0.0
2024-01-02 01:30:00,0.0,0.001,0.252,0.0,0.0
2024-01-02 01:45:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 02:00:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 02:15:00,0.0,0.001,0.06733333333333333,0.0,0.0
2024-01-02 02:30:00,0.0,0.001,0.148,0.0,0.0
2024-01-02 02:45:00,0.0,0.001,0.14666666666666667,0.0,0.0
2024-01-02 03:00:00,0.0,0.001,0.114,0.0,0.0
2024-01-02 03:15:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 03:30:00,0.0,0.001,0.09666666666666666,0.0,0.0
2024-01-02 03:45:00,0.0,0.001,0.126,0.0,0.0
2024-01-02 04:00:00,0.0,0.001,0.050666666666666665,0.0,0.0
2024-01-02 04:15:00,0.0,0.001,0.20266666666666666,0.0,0.0
2024-01-02 04:30:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 04:45:00,0.0,0.001,0.126,0.0,0.0
2024-01-02 05:00:00,0.0,0.001,0.09666666666666666,0.0,0.0
2024-01-02 05:15:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 05:30:00,0.0,0.001,0.15200000000000002,0.0,1.0
2024-01-02 05:45:00,0.0,0.001,0.10866666666666668,0.0,3.0
2024-01-02 06:00:00,0.0,0.001,0.148,0.9333333333333333,0.4
2024-01-02 06:15:00,0.0,0.001,0.06733333333333333,7.0,0.0
2024-01-02 06:30:00,0.0,0.001,0.038,0.9333333333333333,0.0
2024-01-02 06:45:00,0.0,0.001,0.06333333333333332,0.0,0.0
2024-01-02 07:00:00,0.0,0.001,0.7597333333333333,0.0,0.0
2024-01-02 07:15:00,0.0,0.001,0.5478,0.0,1.4
2024-01-02 07:30:00,0.0,0.001,0.038,0.0,1.0
2024-01-02 07:45:00,0.0,0.042154049271240696,0.038,0.0,0.0
2024-01-02 08:00:00,0.0,0.3286032769611479,0.038,0.0,0.0
2024-01-02 08:15:00,0.0,0.7776798389088754,0.23066666666666666,0.0,0.0
2024-01-02 08:30:00,0.0,0.16114019821312534,0.16933333333333334,0.0,0.0
2024-01-02 08:45:00,0.0,0.1581828177695388,0.038,0.0,0.0
2024-01-02 09:00:00,0.0,1.000722737988656,0.038,0.0,0.0
2024-01-02 09:15:00,0.0,0.7836777193005633,0.0432,0.0,0.0
2024-01-02 09:30:00,0.0,0.12242849310647148,0.18433333333333335,0.0,0.0
2024-01-02 09:45:00,0.0,0.2539360595937185,0.24166666666666667,0.0,0.0
2024-01-02 10:00:00,0.0,0.7200642343758334,0.051,0.0,0.0
2024-01-02 10:15:00,0.0,0.2705145916472217,0.042333333333333334,0.0,0.0
2024-01-02 10:30:00,0.0,0.001,0.05266666666666667,0.0,0.0
2024-01-02 10:45:00,0.0,0.001,0.148,0.0,1.0
2024-01-02 11:00:00,0.0,0.001,0.19933333333333333,0.0,3.0
2024-01-02 11:15:00,0.0,0.001,0.07600000000000001,0.0,3.0
2024-01-02 11:30:00,0.0,0.001,0.038,0.0,3.0
2024-01-02 11:45:00,0.0,0.001,0.082,0.0,3.0
2024-01-02 12:00:00,0.0,0.001,0.14066666666666666,0.0,3.0
2024-01-02 12:15:00,0.0,0.001,0.08866666666666667,0.0,3.0
2024-01-02 12:30:00,0.0,0.001,0.16466666666666668,0.0,3.0
2024-01-02 12:45:00,0.0,0.001,0.038,0.0,3.0
2024-01-02 13:00:00,0.0,0.001,0.11133333333333333,0.0,3.0
2024-01-02 13:15:00,0.0,0.001,0.11133333333333333,0.0,3.0
2024-01-02 13:30:00,0.0,0.001,0.038,0.0,3.0
2024-01-02 13:45:00,0.0,0.001,0.19,0.0,3.0
2024-01-02 14:00:00,0.0,0.001,0.06333333333333332,0.0,3.0
2024-01-02 14:15:00,0.0,0.001,0.14066666666666666,0.0,3.0
2024-01-02 14:30:00,0.0,0.001,0.082,0.0,3.0
2024-01-02 14:45:00,0.0,0.001,0.038,0.0,1.4
2024-01-02 15:00:00,0.0,0.001,0.10133333333333333,0.0,0.0
2024-01-02 15:15:00,0.0,0.001,0.174,0.0,0.0
2024-01-02 15:30:00,0.0,0.001,0.148,0.0,0.0
2024-01-02 15:45:00,0.0,0.001,0.05266666666666666,2.3333333333333335,0.0
2024-01-02 16:00:00,0.0,0.001,0.038,7.0,0.0
2024-01-02 16:15:00,0.0,0.001,0.038,3.7333333333333334,0.0
2024-01-02 16:30:00,0.0,0.001,0.254,0.0,0.0
2024-01-02 16:45:00,0.0,0.001,0.146,0.0,0.0
2024-01-02 17:00:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 17:15:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 17:30:00,0.0,0.001,0.038,0.0,2.4
2024-01-02 17:45:00,0.0,0.001,0.19466666666666665,0.0,0.8
2024-01-02 18:00:00,0.0,0.001,0.20533333333333334,0.0,0.0
2024-01-02 18:15:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 18:30:00,0.0,0.001,0.038,0.0,0.0
2024-01-02 18:45:00,0.0,0.001,0.051,0.0,2.4
2024-01-02 19:00:00,0.0,0.001,0.161,0.0,1.0
2024-01-02 19:15:00,0.0,0.001,0.26499999999999996,0.0,2.2
2024-01-02 19:30:00,0.0,0.001,0.051,0.0,0.0
2024-01-02 19:45:00,0.0,0.001,0.044066666666666664,0.0,0.0
2024-01-02 20:00:00,0.0,0.001,0.06733333333333333,0.0,0.4
2024-01-02 20:15:00,0.0,0.001,0.14878824949151156,0.0,2.0
2024-01-02 20:30:00,0.0,0.001,0.8121570757060067,0.0,0.0
2024-01-02 20:45:00,0.0,0.001,0.4050237423726735,0.0,0.0
2024-01-02 21:00:00,0.0,0.001,0.0498237423726735,0.0,3.0
2024-01-02 21:15:00,0.0,0.001,0.10691391005631704,0.0,1.2
2024-01-02 21:30:00,0.0,0.001,0.1575521973529143,0.0,0.0
2024-01-02 21:45:00,0.0,0.001,0.15828553068624765,0.0,0.0
2024-01-02 22:00:00,0.0,0.001,0.7676855306862476,0.0,0.0
2024-01-02 22:15:00,0.0,0.001,0.19055219735291432,0.0,2.8
2024-01-02 22:30:00,0.0,0.001,0.6838699437934952,0.0,0.0
2024-01-02 22:45:00,0.0,0.001,0.26104260639225446,0.0,0.2
2024-01-02 23:00:00,0.0,0.001,0.46890927305892116,0.0,3.0
2024-01-02 23:15:00,0.0,0.001,0.420637661666784,0.0,2.6
2024-01-02 23:30:00,0.0,0.001,0.28815707570600685,0.0,1.2
2024-01-02 23:45:00,0.0,0.001,0.3062510797739143,0.0,0.8
2024-01-03 00:00:00,0.0,0.001,0.2072646517450819,0.0,0.0
2024-01-03 00:15:00,0.0,0.001,0.19055219735291432,0.0,0.0
2024-01-03 00:30:00,0.0,0.001,0.0983521973529143,0.0,3.0
2024-01-03 00:45:00,0.0,0.001,0.2708855306862476,0.0,0.4
2024-01-03 01:00:00,0.0,0.001,0.1690347982352762,0.0,0.0
2024-01-03 01:15:00,0.0,0.001,0.5710666666666666,0.0,0.0
2024-01-03 01:30:00,0.0,0.001,0.038,0.0,0.0
2024-01-03 01:45:00,0.0,0.001,0.040266666666666666,0.0,0.0
2024-01-03 02:00:00,0.0,0.001,0.252,0.0,0.0
