,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0,0.001,0.25541886401958097,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.34339102543135996,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.164,0.0,0.0,3.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.164,0.0,0.0,1.8
2024-01-01 01:00:00,0.001,0.0,0.001,0.164,0.0,0.0,0.4
2024-01-01 01:15:00,0.001,0.0,0.001,0.08446666666666666,0.0,0.0,3.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.233,0.0,0.0,2.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.06833333333333333,0.0,0.0,0.2
2024-01-01 02:00:00,0.001,0.0,0.001,0.043,0.0,0.0,2.6
2024-01-01 02:15:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.043,0.0,0.0,1.4
2024-01-01 02:45:00,0.001,0.0,0.001,0.2076666666666667,0.0,0.0,0.8
2024-01-01 03:00:00,0.001,0.0,0.001,0.11900000000000001,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.043,0.0,0.0,3.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.44279999999999997,0.0,0.0,2.6
2024-01-01 03:45:00,0.001,0.0,0.001,0.043,0.0,0.5333333333333333,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.157,0.0,1.4666666666666666,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.16966666666666666,0.0,1.3333333333333333,1.6
2024-01-01 04:30:00,0.001,0.0,0.001,0.043,0.0,0.26666666666666666,2.2
2024-01-01 04:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.043,0.0,0.0,2.4
2024-01-01 05:15:00,0.001,0.0,0.001,0.10633333333333334,0.0,0.0,0.8
2024-01-01 05:30:00,0.001,0.0,0.001,0.22033333333333335,0.0,0.0,0.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.043,0.0,0.8,0.8
2024-01-01 06:00:00,0.001,0.0,0.001,0.043,0.0,0.0,3.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.05426666666666667,0.0,0.9333333333333333,0.2
2024-01-01 06:30:00,0.001,0.0,0.001,0.06866666666666667,0.0,2.0,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.246,0.0,2.0,0.4
2024-01-01 07:00:00,0.001,0.0,0.001,0.094,0.0,2.0,3.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.5864666666666667,0.0,2.0,3.0
2024-01-01 07:30:00,0.001,0.0,0.001,0.07913827805880383,0.0,2.0,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.08755219735291431,0.0,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.23955219735291428,0.0,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.17101886401958094,0.0,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.07888553068624765,0.0,0.0,0.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.07072435876469334,0.0,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.45580000000000004,0.0,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,0.9569333333333334,0.0,0.0,0.4
2024-01-01 09:30:00,0.001,0.0,0.001,0.7275333333333334,0.0,0.0,1.8
2024-01-01 09:45:00,0.001,0.0,0.001,0.7238510797739143,0.0,0.0,0.0
2024-01-01 10:00:00,0.001,0.0,0.001,2.1484904090393404,0.0,0.0,0.0
2024-01-01 10:15:00,0.001,0.0,0.001,2.4012904090393405,0.0,0.0,0.0
2024-01-01 10:30:00,0.001,0.0,0.001,1.0124904090393403,0.0,0.0,2.0
2024-01-01 10:45:00,0.001,0.0,0.001,0.7786237423726735,0.0,0.0,2.8
2024-01-01 11:00:00,0.001,0.0,0.001,0.18488249491511566,3.7333333333333334,0.0,0.0
2024-01-01 11:15:00,0.001,0.0,0.001,0.13666666666666666,7.0,0.9333333333333333,0.0
2024-01-01 11:30:00,0.001,0.0,0.001,0.04386666666666666,7.0,1.6,0.0
2024-01-01 11:45:00,0.001,0.0,0.001,0.043,0.4666666666666667,0.0,0.0
2024-01-01 12:00:00,0.001,0.0,0.001,0.24245899389813882,0.0,0.0,0.0
2024-01-01 12:15:00,0.001,0.0,0.001,0.11329040903934016,0.0,0.0,2.8
2024-01-01 12:30:00,0.001,0.0,0.001,2.146957075706007,0.0,0.0,3.0
2024-01-01 12:45:00,0.001,0.0,0.001,0.7075570757060069,0.0,0.0,0.0
2024-01-01 13:00:00,0.001,0.0,0.001,0.06151774644058097,3.7333333333333334,0.0,0.0
2024-01-01 13:15:00,0.001,0.0,0.001,0.45753333333333335,7.0,0.0,2.8
2024-01-01 13:30:00,0.001,0.0,0.001,0.9439333333333334,3.7333333333333334,0.0,3.0
2024-01-01 13:45:00,0.001,0.0,0.001,0.07244871752938668,0.0,0.0,3.0
2024-01-01 14:00:00,0.001,0.0,0.001,0.4743521973529143,0.0,0.0,3.0
2024-01-01 14:15:00,0.001,0.0,0.001,0.07455219735291431,0.0,0.0,1.4
2024-01-01 14:30:00,0.001,0.0,0.001,0.7043521973529143,0.0,0.0,0.0
2024-01-01 14:45:00,0.001,0.0,0.001,0.3549243587646933,0.0,0.0,0.0
2024-01-01 15:00:00,0.001,0.0,0.001,0.4182666666666666,0.0,0.0,0.0
2024-01-01 15:15:00,0.001,0.0,0.001,0.5515333333333333,0.0,0.0,1.8
2024-01-01 15:30:00,0.001,0.0,0.001,0.285,0.0,0.0,0.4
2024-01-01 15:45:00,0.001,0.0,0.001,0.8356237423726736,0.0,0.0,2.2
2024-01-01 16:00:00,0.001,0.0,0.001,0.3658237423726735,0.0,0.0,2.0
2024-01-01 16:15:00,0.001,0.0,0.001,1.9388237423726737,0.0,0.5333333333333333,2.6
2024-01-01 16:30:00,0.001,0.0,0.001,2.1768237423726737,0.0,2.0,0.0
2024-01-01 16:45:00,0.001,0.0,0.001,3.0012237423726735,0.0,0.13333333333333333,0.0
2024-01-01 17:00:00,0.001,0.0,0.001,0.5259529979660463,0.0,0.0,0.0
2024-01-01 17:15:00,0.001,0.0,0.001,0.23505769209802668,0.0,0.0,0.0
2024-01-01 17:30:00,0.001,0.0,0.001,0.13788553068624765,0.0,0.0,1.6
2024-01-01 17:45:00,0.001,0.0,0.001,0.0967759397255878,0.0,0.0,1.0
2024-01-01 18:00:00,0.001,0.0,0.001,1.7969759397255878,0.0,0.0,0.0
2024-01-01 18:15:00,0.001,0.0,0.001,1.6555092730589211,0.0,0.0,0.0
2024-01-01 18:30:00,0.001,0.0,0.001,0.7513092730589211,0.0,0.0,0.6
2024-01-01 18:45:00,0.001,0.0,0.001,0.18603070201972874,0.0,0.0,3.0
2024-01-01 19:00:00,0.001,0.0,0.001,0.11640791412422449,0.0,0.0,0.0
2024-01-01 19:15:00,0.001,0.0,0.001,2.0962,0.0,0.0,0.0
2024-01-01 19:30:00,0.001,0.0,0.001,1.3738666666666668,0.0,0.0,0.0
2024-01-01 19:45:00,0.001,0.0,0.001,0.29646666666666666,0.0,0.0,0.0
2024-01-01 20:00:00,0.001,0.0,0.001,0.4496666666666666,0.0,0.0,0.0
2024-01-01 20:15:00,0.001,0.0,0.001,0.1882,0.0,0.0,0.0
2024-01-01 20:30:00,0.001,0.0,0.001,0.2608,0.0,0.0,0.0
2024-01-01 20:45:00,0.001,0.0,0.001,0.29524724338965036,0.0,0.0,0.0
2024-01-01 21:00:00,0.001,0.0,0.001,0.24463564674519925,0.0,0.0,0.0
2024-01-01 21:15:00,0.001,0.0,0.001,0.39737593972558777,0.0,1.7333333333333334,0.0
2024-01-01 21:30:00,0.001,0.0,0.001,0.23270927305892114,0.0,0.8,0.0
2024-01-01 21:45:00,0.001,0.0,0.001,0.1670426063922545,0.0,0.0,0.0
2024-01-01 22:00:00,0.001,0.0,0.001,0.197916945827449,0.0,0.0,2.2
2024-01-01 22:15:00,0.001,0.0,0.001,0.24184871752938666,0.0,0.0,1.8
2024-01-01 22:30:00,0.001,0.0,0.001,0.48121886401958086,0.0,0.0,0.0
2024-01-01 22:45:00,0.001,0.0,0.001,0.39491694582744896,0.0,0.0,1.4
2024-01-01 23:00:00,0.001,0.0,0.001,0.28804260639225443,0.0,0.0,1.8
2024-01-01 23:15:00,0.001,0.0,0.001,0.20737593972558782,0.0,0.0,0.0
2024-01-01 23:30:00,0.001,0.0,0.001,0.15897593972558782,0.0,0.0,0.0
2024-01-01 23:45:00,0.001,0.0,0.001,0.2898237423726735,0.0,0.0,1.8
2024-01-02 00:00:00,0.001,0.0,0.001,0.2969726625987592,0.0,0.0,0.2
2024-01-02 00:15:00,0.001,0.0,0.001,0.164,0.0,0.0,0.0
2024-01-02 00:30:00,0.001,0.0,0.001,0.164,0.0,0.0,2.0
2024-01-02 00:45:00,0.001,0.0,0.001,0.164,0.0,0.0,3.0
2024-01-02 01:00:00,0.001,0.0,0.001,0.1144,0.0,0.0,1.6
2024-01-02 01:15:00,0.001,0.0,0.001,0.22033333333333335,0.0,0.0,0.0
2024-01-02 01:30:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-02 01:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-02 02:00:00,0.001,0.0,0.001,0.043,0.0,0.0,1.8
2024-01-02 02:15:00,0.001,0.0,0.001,0.05566666666666666,0.0,0.0,2.2
2024-01-02 02:30:00,0.001,0.0,0.001,0.233,0.0,0.0,2.0
2024-01-02 02:45:00,0.001,0.0,0.001,0.081,0.0,0.0,0.0
2024-01-02 03:00:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-02 03:15:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-02 03:30:00,0.001,0.0,0.001,0.043,0.0,0.0,2.2
2024-01-02 03:45:00,0.001,0.0,0.001,0.195,0.0,0.0,0.0
2024-01-02 04:00:00,0.001,0.0,0.001,0.13166666666666668,0.0,0.0,0.0
2024-01-02 04:15:00,0.001,0.0,0.001,0.043,0.0,1.0666666666666667,2.2
2024-01-02 04:30:00,0.001,0.0,0.001,0.043,0.0,2.0,1.0
2024-01-02 04:45:00,0.001,0.0,0.001,0.043,0.0,0.26666666666666666,0.0
2024-01-02 05:00:00,0.001,0.0,0.001,0.14433333333333334,0.0,0.0,0.0
2024-01-02 05:15:00,0.001,0.0,0.001,0.18233333333333335,0.0,0.0,0.0
2024-01-02 05:30:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-02 05:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-02 06:00:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-02 06:15:00,0.001,0.0,0.001,0.09366666666666666,0.0,0.0,0.0
2024-01-02 06:30:00,0.001,0.0,0.001,0.233,0.0,0.0,0.0
2024-01-02 06:45:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-02 07:00:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-02 07:15:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-02 07:30:00,0.001,0.0,0.001,0.043,0.0,0.0,0.0
2024-01-02 07:45:00,0.001,0.0,0.001,0.233,0.0,0.0,0.0
2024-01-02 08:00:00,0.001,0.0,0.001,0.09366666666666666,1.8666666666666667,0.0,0.0
2024-01-02 08:15:00,0.001,0.0,0.001,0.043,7.0,0.0,0.0
2024-01-02 08:30:00,0.001,0.0,0.001,0.043,7.0,0.0,0.6
2024-01-02 08:45:00,0.001,0.0,0.001,0.043,7.0,0.0,3.0
2024-01-02 09:00:00,0.001,0.0,0.001,0.18233333333333335,7.0,0.0,3.0
2024-01-02 09:15:00,0.001,0.0,0.001,0.14433333333333334,7.0,0.0,3.0
2024-01-02 09:30:00,0.001,0.0,0.001,0.043,5.6,0.0,3.0
2024-01-02 09:45:00,0.001,0.0,0.001,0.043,0.0,0.0,3.0
2024-01-02 10:00:00,0.001,0.0,0.001,0.04646666666666666,0.0,1.8666666666666667,3.0
2024-01-02 10:15:00,0.001,0.0,0.001,0.14466666666666667,0.0,0.6666666666666666,3.0
2024-01-02 10:30:00,0.001,0.0,0.001,0.20800000000000002,0.0,0.0,3.0
2024-01-02 10:45:00,0.001,0.0,0.001,0.056,0.0,0.0,3.0
2024-01-02 11:00:00,0.001,0.0,0.001,2.1308000000000002,0.0,0.0,3.0
2024-01-02 11:15:00,0.001,0.0,0.001,1.4824,0.0,0.0,3.0
2024-01-02 11:30:00,0.001,0.0,0.001,2.0002000000000004,0.0,0.0,3.0
2024-01-02 11:45:00,0.001,0.0,0.001,0.7660666666666668,0.0,0.0,3.0
2024-01-02 12:00:00,0.001,0.0,0.001,0.06854029298038858,0.0,0.0,3.0
2024-01-02 12:15:00,0.001,0.0,0.001,0.08755219735291431,0.0,0.0,3.0
2024-01-02 12:30:00,0.001,0.0,0.001,0.08755219735291431,0.0,0.0,3.0
2024-01-02 12:45:00,0.001,0.0002666666666666667,0.001,0.0946464427765184,0.0,0.0,2.6
2024-01-02 13:00:00,0.001,0.45080000000000003,0.001,0.45730927305892105,0.0,0.0,0.2
2024-01-02 13:15:00,0.001,0.7506666666666667,0.001,0.38960579323539346,0.0,0.0,2.0
2024-01-02 13:30:00,0.001,0.001,0.001,0.2968237423726735,0.0,0.0,0.4
2024-01-02 13:45:00,0.001,0.0004,0.001,0.2968237423726735,0.0,0.0,1.6
2024-01-02 14:00:00,0.001,0.0,0.001,0.29367074440662727,0.0,0.0,0.0
2024-01-02 14:15:00,0.001,0.0,0.001,0.3774666666666667,0.0,0.0,0.4
2024-01-02 14:30:00,0.001,0.0,0.08198752458236763,0.26413333333333333,0.0,0.0,3.0
2024-01-02 14:45:00,0.001,0.0,0.22577821760524625,0.134,0.0,0.0,0.4
2024-01-02 15:00:00,0.001,0.0,1.1005373010781025,0.134,0.0,0.0,0.0
2024-01-02 15:15:00,0.001,0.0,0.1826653497677094,0.10973333333333334,0.0,0.0,0.0
2024-01-02 15:30:00,0.001,0.0,0.137110304242186,0.11900000000000001,0.0,0.0,1.8
2024-01-02 15:45:00,0.001,0.0,0.2502079141020956,0.28833333333333333,0.0,0.0,0.8
2024-01-02 16:00:00,0.001,0.0,0.6559089073405496,0.164,0.0,0.0,0.0
2024-01-02 16:15:00,0.001,0.0,0.12951676761525008,0.16486666666666666,0.0,0.0,0.0
2024-01-02 16:30:00,0.001,0.0,0.2676745865142295,0.18962087894116572,0.0,1.3333333333333333,0.0
2024-01-02 16:45:00,0.001,0.0,1.5054608076497178,0.23388553068624762,0.0,1.2,0.0
2024-01-02 17:00:00,0.001,0.0,0.5942696089072896,0.3340188640195809,0.0,0.0,2.8
2024-01-02 17:15:00,0.001,0.0,0.1653275013284842,0.43825027916078235,0.0,0.0,2.2
2024-01-02 17:30:00,0.001,0.0,0.2292796978049077,2.192709273058921,0.0,0.0,0.0
