,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0,0.001,0.344,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.11466666666666667,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.11666666666666667,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.344,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.10933333333333332,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.12200000000000001,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.344,2.6666666666666665,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.104,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.044,2.0,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.12733333333333335,0.0,0.0
2024-01-01 04:30:00,0.001,0.0,0.001,0.344,3.0,0.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.09866666666666667,1.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.044,4.0,0.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.044,3.0,0.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.13266666666666665,0.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.344,0.0,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.09333333333333332,0.0,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.044,3.0,0.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.14533333333333334,4.0,0.0
2024-01-01 07:30:00,0.001,0.0,0.001,0.33666666666666667,0.0,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.08800000000000001,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.158,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.31666666666666665,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,0.09533333333333333,2.0,0.0
