,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.0,0.001,0.20788553068624763,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.21855219735291428,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.0665521973529143,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.0665521973529143,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.09378205086272001,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.221,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.23233333333333336,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.04766666666666667,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.035,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.097,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.335,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.09833333333333334,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.035,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.035,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.035,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.24366666666666667,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.2516666666666667,2.933333333333333
2024-01-01 04:30:00,0.001,0.0,0.001,0.035,1.8666666666666667
2024-01-01 04:45:00,0.001,0.0,0.001,0.035,0.8
2024-01-01 05:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.149,2.933333333333333
2024-01-01 05:30:00,0.001,0.0,0.001,0.251,4.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.13033333333333333,1.3333333333333333
2024-01-01 06:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.035,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.11133333333333333,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.238,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.132,0.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.136,0.0
2024-01-01 07:30:00,0.001,0.0,0.001,0.043666666666666666,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.04766666666666667,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.225,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.111,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.10099999999999999,0.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.11566666666666665,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.035,2.6666666666666665
2024-01-01 09:15:00,0.001,0.0,0.001,0.187,0.0
2024-01-01 09:30:00,0.001,0.0,0.001,0.16166666666666668,0.0
2024-01-01 09:45:00,0.001,0.0,0.001,0.035,0.0
2024-01-01 10:00:00,0.001,0.00046666666666666666,0.001,0.12133333333333333,0.0
2024-01-01 10:15:00,0.001,0.9006000000000001,0.001,0.12133333333333333,0.0
2024-01-01 10:30:00,0.001,0.30086666666666667,0.001,0.14933333333333332,0.0
2024-01-01 10:45:00,0.001,0.001,0.001,0.21753333333333333,0.0
2024-01-01 11:00:00,0.001,0.0002,0.001,0.035,0.0
2024-01-01 11:15:00,0.001,0.0,0.001,1.5016666666666667,0.0
2024-01-01 11:30:00,0.001,0.0,0.001,1.3156666666666665,0.0
2024-01-01 11:45:00,0.001,0.0,0.001,0.15166666666666667,0.0
2024-01-01 12:00:00,0.001,0.0,0.001,0.30604000000000003,0.0
2024-01-01 12:15:00,0.001,0.0,0.001,0.22169999999999998,0.0
2024-01-01 12:30:00,0.001,0.0,0.001,0.1837,0.0
2024-01-01 12:45:00,0.001,0.0,0.001,0.1837,0.0
2024-01-01 13:00:00,0.001,0.0,0.001,0.26736666666666664,0.0
2024-01-01 13:15:00,0.001,0.0,0.001,0.41936666666666667,0.0
2024-01-01 13:30:00,0.001,0.0,0.001,0.25936666666666663,0.0
2024-01-01 13:45:00,0.001,0.0,0.001,0.1707,0.0
2024-01-01 14:00:00,0.001,0.0,0.001,0.1707,0.5333333333333333
2024-01-01 14:15:00,0.001,0.0,0.001,0.1707,1.6
2024-01-01 14:30:00,0.001,0.0,0.001,0.40536666666666665,0.0
2024-01-01 14:45:00,0.001,0.0,0.001,0.36136666666666667,0.0
2024-01-01 15:00:00,0.001,0.0,0.001,0.1707,0.0
2024-01-01 15:15:00,0.001,0.0,0.001,0.1707,0.0
2024-01-01 15:30:00,0.001,0.0,0.001,0.1707,0.0
2024-01-01 15:45:00,0.001,0.0,0.001,0.25936666666666663,0.0
2024-01-01 16:00:00,0.001,0.0,0.001,0.46336666666666665,0.0
2024-01-01 16:15:00,0.001,0.0,0.001,0.2147,0.0
2024-01-01 16:30:00,0.001,0.0,0.001,0.1707,0.0
2024-01-01 16:45:00,0.001,0.0,0.001,0.1707,0.0
2024-01-01 17:00:00,0.001,0.0,0.001,1.4819,0.0
2024-01-01 17:15:00,0.001,0.0,0.001,2.4827,0.0
2024-01-01 17:30:00,0.001,0.0,0.001,2.137633333333333,0.0
2024-01-01 17:45:00,0.001,0.0,0.001,0.3406333333333333,0.0
2024-01-01 18:00:00,0.001,0.0,0.001,0.43479999999999996,0.0
2024-01-01 18:15:00,0.001,0.0,0.001,1.5911333333333333,2.1333333333333333
2024-01-01 18:30:00,0.001,0.0,0.001,2.0514,0.0
2024-01-01 18:45:00,0.001,0.0,0.001,0.1436666666666667,0.0
2024-01-01 19:00:00,0.001,0.0,0.001,0.18041190437252572,0.0
2024-01-01 19:15:00,0.001,0.0,0.001,0.21688553068624764,0.0
2024-01-01 19:30:00,0.001,0.0,0.001,0.1875521973529143,0.0
2024-01-01 19:45:00,0.001,0.0,0.001,0.31421886401958093,0.0
2024-01-01 20:00:00,0.001,0.0,0.001,0.33534523770585906,0.0
2024-01-01 20:15:00,0.001,0.0,0.001,0.09000000000000001,0.0
2024-01-01 20:30:00,0.001,0.0,0.001,0.145,0.0
2024-01-01 20:45:00,0.001,0.0,0.001,0.057,0.0
2024-01-01 21:00:00,0.001,0.0,0.001,0.111,0.0
2024-01-01 21:15:00,0.001,0.0,0.001,0.225,0.0
2024-01-01 21:30:00,0.001,0.0,0.001,0.04766666666666667,0.0
2024-01-01 21:45:00,0.001,0.0,0.001,0.057,0.0
2024-01-01 22:00:00,0.001,0.0,0.001,0.145,0.0
2024-01-01 22:15:00,0.001,0.0,0.001,0.075,0.0
2024-01-01 22:30:00,0.001,0.0,0.001,0.225,0.0
2024-01-01 22:45:00,0.001,0.0,0.001,0.09833333333333334,0.0
2024-01-01 23:00:00,0.001,0.0,0.001,0.035,0.0
2024-01-01 23:15:00,0.001,0.0,0.001,0.06433333333333333,0.0
2024-01-01 23:30:00,0.001,0.0,0.001,0.7425999999999999,0.0
2024-01-01 23:45:00,0.001,0.0,0.001,0.3602666666666667,0.0
2024-01-02 00:00:00,0.001,0.0,0.001,0.391,0.0
2024-01-02 00:15:00,0.001,0.0,0.001,0.277,0.0
2024-01-02 00:30:00,0.001,0.0,0.001,0.277,0.0
2024-01-02 00:45:00,0.001,0.0,0.001,0.24106666666666668,0.0
2024-01-02 01:00:00,0.001,0.0,0.001,0.38,0.0
