,TumbleDryer,DishWasher,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.0,0.92699040903934,0.0
2024-01-01 00:15:00,0.001,0.0,0.4305237423726735,0.0
2024-01-01 00:30:00,0.001,0.0,0.3654021595478286,0.0
2024-01-01 00:45:00,0.001,0.0,0.35883333333333334,1.5
2024-01-01 01:00:00,0.001,0.0,0.18769999999999998,1.5
2024-01-01 01:15:00,0.001,0.0,0.2130333333333333,1.5
2024-01-01 01:30:00,0.001,0.0,0.3743666666666667,1.5
2024-01-01 01:45:00,0.001,0.0,0.29769999999999996,1.5
2024-01-01 02:00:00,0.001,0.0,0.2717,0.4
2024-01-01 02:15:00,0.001,0.0,0.3117,0.0
2024-01-01 02:30:00,0.001,0.0,0.18769999999999998,1.4
2024-01-01 02:45:00,0.001,0.0,0.22569999999999996,1.5
2024-01-01 03:00:00,0.001,0.0,0.35436666666666666,1.5
2024-01-01 03:15:00,0.001,0.0,0.29769999999999996,1.5
2024-01-01 03:30:00,0.001,0.0,0.3100333333333333,1.5
2024-01-01 03:45:00,0.001,0.0,0.2807,1.5
2024-01-01 04:00:00,0.001,0.0,0.18769999999999998,1.5
2024-01-01 04:15:00,0.001,0.0,0.6110266666666665,1.5
2024-01-01 04:30:00,0.001,0.0,0.19866666666666666,0.9
2024-01-01 04:45:00,0.001,0.0,0.162,0.0
2024-01-01 05:00:00,0.001,0.0,0.21266666666666667,0.0
2024-01-01 05:15:00,0.001,0.0,0.114,0.0
2024-01-01 05:30:00,0.001,0.0,0.052,0.7
2024-01-01 05:45:00,0.001,0.0,0.11533333333333333,1.5
2024-01-01 06:00:00,0.001,0.0,0.17866666666666664,0.4
2024-01-01 06:15:00,0.001,0.0,0.162,0.0
2024-01-01 06:30:00,0.001,0.0,0.251,0.0
2024-01-01 06:45:00,0.001,0.0,0.08299999999999999,0.0
2024-01-01 07:00:00,0.001,0.0,0.06066666666666667,0.0
2024-01-01 07:15:00,0.001,0.0,0.14100000000000001,0.0
