,TumbleDryer,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.001,0.08343469226802998,0.0
2024-01-01 00:15:00,0.001,0.001,0.19595421227449908,0.0
2024-01-01 00:30:00,0.001,0.001,0.23733333333333334,0.0
2024-01-01 00:45:00,0.001,0.001,0.17833333333333334,0.0
2024-01-01 01:00:00,0.001,0.001,0.044,0.0
2024-01-01 01:15:00,0.001,0.001,0.044,0.0
2024-01-01 01:30:00,0.001,0.001,0.044,0.0
2024-01-01 01:45:00,0.001,0.001,0.2753333333333333,0.0
2024-01-01 02:00:00,0.001,0.001,0.2796666666666667,0.0
2024-01-01 02:15:00,0.001,0.001,0.044,0.0
2024-01-01 02:30:00,0.001,0.001,0.044,2.2
2024-01-01 02:45:00,0.001,0.001,0.044,0.0
2024-01-01 03:00:00,0.001,0.001,0.6690666666666668,0.0
2024-01-01 03:15:00,0.001,0.001,0.36833333333333335,0.0
2024-01-01 03:30:00,0.001,0.001,0.09466666666666666,0.0
2024-01-01 03:45:00,0.001,0.001,0.4438000000000001,0.0
2024-01-01 04:00:00,0.001,0.001,0.044,0.0
2024-01-01 04:15:00,0.001,0.001,0.08533333333333333,0.0
2024-01-01 04:30:00,0.001,0.001,0.2796666666666667,0.0
2024-01-01 04:45:00,0.001,0.001,0.234,0.0
2024-01-01 05:00:00,0.001,0.001,0.044,0.0
2024-01-01 05:15:00,0.001,0.001,0.044,0.0
2024-01-01 05:30:00,0.001,0.001,0.08533333333333333,2.0
2024-01-01 05:45:00,0.001,0.001,0.17833333333333334,0.4
2024-01-01 06:00:00,0.001,0.001,0.196,0.0
2024-01-01 06:15:00,0.001,0.001,0.18333333333333332,0.0
2024-01-01 06:30:00,0.001,0.001,0.0518,0.0
2024-01-01 06:45:00,0.001,0.001,0.09833333333333334,0.0
2024-01-01 07:00:00,0.001,0.001,0.7243999999999999,0.0
2024-01-01 07:15:00,0.001,0.001,0.06966666666666667,0.0
2024-01-01 07:30:00,0.001,0.001,0.247,0.0
2024-01-01 07:45:00,0.001,0.001,0.14566666666666667,0.0
2024-01-01 08:00:00,0.001,0.001,0.09833333333333334,0.0
2024-01-01 08:15:00,0.001,0.001,0.18266666666666667,0.0
2024-01-01 08:30:00,0.001,0.001,0.044,0.0
2024-01-01 08:45:00,0.001,0.001,0.10733333333333334,0.0
2024-01-01 09:00:00,0.001,0.001,0.234,0.0
2024-01-01 09:15:00,0.001,0.001,0.5231333333333333,0.0
2024-01-01 09:30:00,0.001,0.001,0.17833333333333334,0.0
2024-01-01 09:45:00,0.001,0.001,0.44380000000000003,0.0
2024-01-01 10:00:00,0.001,0.001,0.044,0.0
2024-01-01 10:15:00,0.001,0.001,0.158,0.0
2024-01-01 10:30:00,0.001,0.001,0.2626666666666667,0.0
2024-01-01 10:45:00,0.001,0.001,0.17833333333333334,1.8
2024-01-01 11:00:00,0.001,0.001,0.044,0.4
2024-01-01 11:15:00,0.001,0.001,0.044,0.0
2024-01-01 11:30:00,0.001,0.001,0.044,0.0
2024-01-01 11:45:00,0.001,0.001,0.25,0.0
2024-01-01 12:00:00,0.001,0.001,0.305,0.0
2024-01-01 12:15:00,0.001,0.001,0.044,0.0
2024-01-01 12:30:00,0.001,0.001,0.044,0.0
2024-01-01 12:45:00,0.001,0.001,0.5770666666666667,0.0
2024-01-01 13:00:00,0.001,0.001,0.11066666666666668,0.0
2024-01-01 13:15:00,0.001,0.001,0.9014,0.0
2024-01-01 13:30:00,0.001,0.001,0.6085333333333334,0.0
2024-01-01 13:45:00,0.001,0.001,0.165,0.0
2024-01-01 14:00:00,0.001,0.001,0.165,0.0
2024-01-01 14:15:00,0.001,0.001,0.20633333333333334,0.0
2024-01-01 14:30:00,0.001,0.001,0.7751333333333332,0.0
2024-01-01 14:45:00,0.001,0.001,0.6004354928811619,0.0
2024-01-01 15:00:00,0.001,0.001,1.0811570757060067,0.0
2024-01-01 15:15:00,0.001,0.001,0.4558237423726735,0.0
2024-01-01 15:30:00,0.001,0.001,0.09889040903934017,0.0
2024-01-01 15:45:00,0.001,0.001,0.46982374237267355,0.0
2024-01-01 16:00:00,0.001,0.001,2.1931256605648053,0.0
2024-01-01 16:15:00,0.001,0.001,1.29989040903934,0.0
2024-01-01 16:30:00,0.001,0.001,0.06709040903934019,0.0
2024-01-01 16:45:00,0.001,0.001,0.09715707570600683,1.0
2024-01-01 17:00:00,0.001,0.001,0.19015707570600685,1.2
2024-01-01 17:15:00,0.001,0.001,0.34759883358833826,0.0
2024-01-01 17:30:00,0.001,0.001,0.39497977610985174,0.0
2024-01-01 17:45:00,0.001,0.001,0.204916945827449,0.0
2024-01-01 18:00:00,0.001,0.001,0.14170927305892114,0.0
2024-01-01 18:15:00,0.001,0.001,0.7677759397255879,0.0
2024-01-01 18:30:00,0.001,0.001,0.4854515809608945,0.0
2024-01-01 18:45:00,0.001,0.001,1.933757075706007,0.0
2024-01-01 19:00:00,0.001,0.001,2.23909040903934,0.0
2024-01-01 19:15:00,0.001,0.001,0.3071112879805059,0.0
2024-01-01 19:30:00,0.001,0.001,0.35019152661834013,0.0
2024-01-01 19:45:00,0.001,0.001,0.2095521973529143,0.0
2024-01-01 20:00:00,0.001,0.001,0.20561502763531703,0.0
2024-01-01 20:15:00,0.001,0.001,0.2970426063922545,0.0
2024-01-01 20:30:00,0.001,0.001,0.8395092730589212,0.0
2024-01-01 20:45:00,0.001,0.001,1.043789273058921,0.0
2024-01-01 21:00:00,0.001,0.001,0.28761593972558774,0.0
2024-01-01 21:15:00,0.001,0.001,0.21901119125105312,0.0
2024-01-01 21:30:00,0.001,0.001,0.2166464427765184,0.0
2024-01-01 21:45:00,0.001,0.001,0.3985759397255878,0.0
2024-01-01 22:00:00,0.001,0.001,0.49470927305892104,0.0
2024-01-01 22:15:00,0.001,0.1481101721312174,0.6285092730589211,0.0
2024-01-01 22:30:00,0.001,0.4300445279238899,0.1357759397255878,0.0
2024-01-01 22:45:00,0.001,0.663232898700175,0.20837593972558782,0.6
2024-01-01 23:00:00,0.001,0.14419002230744984,0.23288143447070017,0.6
2024-01-01 23:15:00,0.001,0.29652354140320536,0.5011570757060068,0.0
2024-01-01 23:30:00,0.001,1.296082042536148,0.6779570757060068,0.0
2024-01-01 23:45:00,0.001,0.3347254971841325,0.19365158096089446,0.0
2024-01-02 00:00:00,0.001,0.10695473016285469,0.2012816943019837,0.0
2024-01-02 00:15:00,0.001,0.306670447376543,0.24655627509287487,0.0
2024-01-02 00:30:00,0.001,0.8915701374107773,0.39337593972558776,0.0
2024-01-02 00:45:00,0.001,0.001,0.3920655002550049,0.0
2024-01-02 01:00:00,0.001,0.001,0.6272904090393402,0.0
2024-01-02 01:15:00,0.001,0.001,0.1284237423726735,0.0
2024-01-02 01:30:00,0.001,0.001,0.49065107977391437,0.0
2024-01-02 01:45:00,0.001,0.001,0.17833333333333334,0.0
2024-01-02 02:00:00,0.001,0.001,0.14533333333333334,0.0
2024-01-02 02:15:00,0.001,0.001,0.234,0.0
2024-01-02 02:30:00,0.001,0.001,0.044,0.0
2024-01-02 02:45:00,0.001,0.001,0.6184000000000001,0.2
2024-01-02 03:00:00,0.001,0.001,0.17833333333333334,1.2
2024-01-02 03:15:00,0.001,0.001,0.044,0.0
2024-01-02 03:30:00,0.001,0.001,0.196,0.0
2024-01-02 03:45:00,0.001,0.001,0.7164,0.0
2024-01-02 04:00:00,0.001,0.001,0.08533333333333333,0.0
2024-01-02 04:15:00,0.001,0.001,0.17833333333333334,0.0
2024-01-02 04:30:00,0.001,0.001,0.5770666666666667,0.0
2024-01-02 04:45:00,0.001,0.001,0.056666666666666664,0.0
2024-01-02 05:00:00,0.001,0.001,0.234,0.0
2024-01-02 05:15:00,0.001,0.001,0.17400000000000002,0.0
2024-01-02 05:30:00,0.001,0.001,0.17833333333333334,0.0
2024-01-02 05:45:00,0.001,0.001,0.044,0.0
2024-01-02 06:00:00,0.001,0.001,0.044,0.0
2024-01-02 06:15:00,0.001,0.001,0.11513333333333332,0.0
2024-01-02 06:30:00,0.001,0.001,0.28833333333333333,1.4
2024-01-02 06:45:00,0.001,0.001,0.22933333333333333,1.0
2024-01-02 07:00:00,0.001,0.001,0.057,0.0
2024-01-02 07:15:00,0.001,0.001,0.0518,0.0
2024-01-02 07:30:00,0.001,0.001,0.057,0.0
2024-01-02 07:45:00,0.001,0.001,0.21233333333333335,0.0
2024-01-02 08:00:00,0.001,0.001,0.3686666666666667,0.0
2024-01-02 08:15:00,0.001,0.001,0.05613333333333334,0.0
2024-01-02 08:30:00,0.001,0.001,0.044,0.0
2024-01-02 08:45:00,0.001,0.001,0.044,0.0
2024-01-02 09:00:00,0.001,0.001,0.08533333333333333,0.0
2024-01-02 09:15:00,0.001,0.001,0.343,0.0
2024-01-02 09:30:00,0.001,0.001,0.17066666666666666,0.0
2024-01-02 09:45:00,0.001,0.001,0.044,0.0
2024-01-02 10:00:00,0.001,0.001,0.044,0.0
2024-01-02 10:15:00,0.001,0.001,0.08533333333333333,0.0
2024-01-02 10:30:00,0.001,0.001,0.2036666666666667,0.0
2024-01-02 10:45:00,0.001,0.001,0.234,0.0
2024-01-02 11:00:00,0.001,0.001,0.12000000000000001,0.0
2024-01-02 11:15:00,0.001,0.001,0.044,0.0
2024-01-02 11:30:00,0.001,0.001,0.08533333333333333,0.0
2024-01-02 11:45:00,0.001,0.001,0.17833333333333334,0.0
2024-01-02 12:00:00,0.001,0.001,0.12000000000000001,0.0
2024-01-02 12:15:00,0.001,0.001,0.234,0.0
2024-01-02 12:30:00,0.001,0.001,0.06933333333333333,0.0
2024-01-02 12:45:00,0.001,0.001,0.08533333333333333,0.0
2024-01-02 13:00:00,0.001,0.001,0.17833333333333334,2.2
2024-01-02 13:15:00,0.001,0.001,0.17726666666666668,0.0
2024-01-02 13:30:00,0.001,0.001,0.5704666666666667,0.0
2024-01-02 13:45:00,0.001,0.001,0.2086666666666667,0.0
2024-01-02 14:00:00,0.001,0.001,0.08533333333333333,0.0
2024-01-02 14:15:00,0.001,0.001,0.17833333333333334,0.0
2024-01-02 14:30:00,0.001,0.001,0.044,0.0
2024-01-02 14:45:00,0.001,0.001,0.054400000000000004,0.0
2024-01-02 15:00:00,0.001,0.001,0.23433333333333334,0.0
2024-01-02 15:15:00,0.001,0.001,0.21233333333333335,0.0
2024-01-02 15:30:00,0.001,0.001,0.1896,0.0
2024-01-02 15:45:00,0.001,0.001,0.6012666666666667,0.0
2024-01-02 16:00:00,0.001,0.001,0.165,0.0
2024-01-02 16:15:00,0.001,0.001,0.20299999999999999,0.0
2024-01-02 16:30:00,0.001,0.001,0.39633333333333337,0.0
2024-01-02 16:45:00,0.001,0.001,0.3626666666666667,0.0
2024-01-02 17:00:00,0.001,0.001,0.6272000000000001,0.0
2024-01-02 17:15:00,0.001,0.001,0.057788249491511574,0.0
2024-01-02 17:30:00,0.001,0.001,0.06882374237267351,0.0
2024-01-02 17:45:00,0.001,0.001,0.1988237423726735,0.0
2024-01-02 18:00:00,0.001,0.001,1.3588237423726734,0.0
2024-01-02 18:15:00,0.001,0.001,2.201757075706007,0.0
2024-01-02 18:30:00,0.001,0.001,0.9176237423726735,0.0
2024-01-02 18:45:00,0.001,0.001,0.06882374237267351,0.0
2024-01-02 19:00:00,0.001,0.001,0.11015707570600684,0.0
2024-01-02 19:15:00,0.001,0.001,0.40930231341186585,0.0
2024-01-02 19:30:00,0.001,0.001,0.8902896084262083,2.2
2024-01-02 19:45:00,0.001,0.001,0.20837593972558782,0.0
2024-01-02 20:00:00,0.001,0.001,0.20837593972558782,0.0
2024-01-02 20:15:00,0.001,0.001,0.3159492730589211,0.0
2024-01-02 20:30:00,0.001,0.001,0.3647892730589211,0.0
2024-01-02 20:45:00,0.001,0.001,0.4866959397255878,0.0
2024-01-02 21:00:00,0.001,0.001,0.3097092730589211,0.0
2024-01-02 21:15:00,0.001,0.001,0.20837593972558782,0.0
2024-01-02 21:30:00,0.001,0.001,0.6431988335883383,0.0
2024-01-02 21:45:00,0.001,0.001,0.33323707570600686,0.0
2024-01-02 22:00:00,0.001,0.001,0.6935304090393403,0.0
2024-01-02 22:15:00,0.001,0.001,0.3668237423726735,0.0
2024-01-02 22:30:00,0.001,0.001,0.760557075706007,0.0
2024-01-02 22:45:00,0.001,0.001,0.21815707570600684,0.0
2024-01-02 23:00:00,0.001,0.001,0.3111570757060068,0.0
2024-01-02 23:15:00,0.001,0.001,0.701219664632713,0.0
2024-01-02 23:30:00,0.001,0.001,0.7765333333333333,0.0
2024-01-02 23:45:00,0.001,0.001,0.3565764989830231,0.0
2024-01-03 00:00:00,0.001,0.001,0.21815707570600684,0.0
2024-01-03 00:15:00,0.001,0.001,0.3111570757060068,0.0
2024-01-03 00:30:00,0.001,0.001,0.5766237423726736,0.0
2024-01-03 00:45:00,0.001,0.001,0.17682374237267354,0.0
2024-01-03 01:00:00,0.001,0.001,0.32567074440662724,0.0
2024-01-03 01:15:00,0.001,0.001,0.3456666666666666,0.0
2024-01-03 01:30:00,0.001,0.001,0.27513333333333334,0.0
2024-01-03 01:45:00,0.001,0.001,0.044,0.0
2024-01-03 02:00:00,0.001,0.001,0.044,0.0
2024-01-03 02:15:00,0.001,0.001,0.056666666666666664,0.0
2024-01-03 02:30:00,0.001,0.001,0.3026785710391924,0.0
2024-01-03 02:45:00,0.001,0.001,0.2985521973529143,0.0
2024-01-03 03:00:00,0.001,0.001,0.07555219735291431,0.0
2024-01-03 03:15:00,0.001,0.001,0.07555219735291431,0.0
2024-01-03 03:30:00,0.001,0.001,0.07555219735291431,0.0
2024-01-03 03:45:00,0.001,0.001,0.1612875456078324,0.0
2024-01-03 04:00:00,0.001,0.001,0.7681333333333333,0.0
2024-01-03 04:15:00,0.001,0.001,0.6150666666666668,2.4
2024-01-03 04:30:00,0.001,0.001,0.44380000000000003,0.6
2024-01-03 04:45:00,0.001,0.001,0.044,0.0
2024-01-03 05:00:00,0.001,0.001,0.48513333333333336,0.0
2024-01-03 05:15:00,0.001,0.001,0.29233333333333333,0.0
2024-01-03 05:30:00,0.001,0.001,1.2116,0.0
2024-01-03 05:45:00,0.001,0.001,2.5658000000000003,0.0
2024-01-03 06:00:00,0.001,0.001,0.6098666666666667,0.0
2024-01-03 06:15:00,0.001,0.001,0.621,0.0
2024-01-03 06:30:00,0.001,0.001,0.19133333333333333,0.0
2024-01-03 06:45:00,0.001,0.001,0.22166666666666668,0.0
2024-01-03 07:00:00,0.001,0.001,0.18366666666666667,0.0
2024-01-03 07:15:00,0.001,0.001,0.05526666666666667,0.0
2024-01-03 07:30:00,0.001,0.001,0.09833333333333334,0.0
2024-01-03 07:45:00,0.001,0.001,0.19133333333333333,0.0
2024-01-03 08:00:00,0.001,0.001,0.08233333333333334,0.0
2024-01-03 08:15:00,0.001,0.001,0.2374666666666667,0.0
2024-01-03 08:30:00,0.001,0.001,0.12000000000000001,0.0
2024-01-03 08:45:00,0.001,0.001,0.48513333333333336,0.0
2024-01-03 09:00:00,0.001,0.001,0.17833333333333334,0.0
2024-01-03 09:15:00,0.001,0.001,0.044,0.0
2024-01-03 09:30:00,0.001,0.001,0.12000000000000001,0.0
2024-01-03 09:45:00,0.001,0.001,0.234,0.0
2024-01-03 10:00:00,0.001,0.001,0.11066666666666668,0.0
2024-01-03 10:15:00,0.001,0.001,0.5781333333333334,2.2
2024-01-03 10:30:00,0.001,0.001,0.5770666666666667,0.0
2024-01-03 10:45:00,0.001,0.001,0.044,0.0
2024-01-03 11:00:00,0.001,0.001,0.7037333333333334,0.0
2024-01-03 11:15:00,0.001,0.001,0.6498,0.0
2024-01-03 11:30:00,0.001,0.001,0.18006666666666668,0.0
2024-01-03 11:45:00,0.001,0.001,0.057,0.0
2024-01-03 12:00:00,0.001,0.001,0.057,0.0
2024-01-03 12:15:00,0.001,0.001,0.45680000000000004,0.0
2024-01-03 12:30:00,0.001,0.001,0.27566666666666667,0.0
2024-01-03 12:45:00,0.001,0.001,0.2932,0.0
2024-01-03 13:00:00,0.001,0.001,0.044,0.0
2024-01-03 13:15:00,0.001,0.001,0.4438000000000001,0.0
2024-01-03 13:30:00,0.001,0.001,0.044,0.0
2024-01-03 13:45:00,0.001,0.001,0.12333333333333334,0.0
2024-01-03 14:00:00,0.001,0.001,0.36833333333333335,0.0
2024-01-03 14:15:00,0.001,0.001,0.10733333333333334,0.0
2024-01-03 14:30:00,0.001,0.001,0.044,0.0
2024-01-03 14:45:00,0.001,0.001,0.05093333333333334,0.0
2024-01-03 15:00:00,0.001,0.001,0.09833333333333334,0.0
2024-01-03 15:15:00,0.001,0.001,0.28,0.0
2024-01-03 15:30:00,0.001,0.001,0.247,0.0
2024-01-03 15:45:00,0.001,0.001,0.06966666666666667,0.0
2024-01-03 16:00:00,0.001,0.001,0.05613333333333334,1.8
2024-01-03 16:15:00,0.001,0.001,0.08533333333333333,0.4
2024-01-03 16:30:00,0.001,0.001,0.17833333333333334,0.0
2024-01-03 16:45:00,0.001,0.001,0.18333333333333332,0.0
2024-01-03 17:00:00,0.001,0.001,0.196,0.0
2024-01-03 17:15:00,0.001,0.001,0.06293131841174858,0.0
2024-01-03 17:30:00,0.001,0.001,0.11688553068624764,0.0
2024-01-03 17:45:00,0.001,0.001,0.2179521973529143,0.0
2024-01-03 18:00:00,0.001,0.001,0.20049344481047215,0.0
2024-01-03 18:15:00,0.001,0.001,0.39837593972558777,0.0
2024-01-03 18:30:00,0.001,0.001,0.3097092730589211,0.0
2024-01-03 18:45:00,0.001,0.001,0.24970927305892113,0.0
2024-01-03 19:00:00,0.001,0.001,0.3427092730589211,0.0
2024-01-03 19:15:00,0.001,0.001,0.1093953630026041,0.0
2024-01-03 19:30:00,0.001,0.001,0.11570146490194287,0.0
2024-01-03 19:45:00,0.001,0.001,0.2550347982352762,0.0
2024-01-03 20:00:00,0.001,0.001,0.1675521973529143,0.0
2024-01-03 20:15:00,0.001,0.001,1.4578855306862477,0.0
2024-01-03 20:30:00,0.001,0.001,1.1974855306862475,0.0
2024-01-03 20:45:00,0.001,0.001,0.3190855306862476,0.0
2024-01-03 21:00:00,0.001,0.001,0.31088553068624764,0.0
2024-01-03 21:15:00,0.001,0.001,0.4408855306862476,0.0
2024-01-03 21:30:00,0.001,0.001,0.33757509121566476,0.0
2024-01-03 21:45:00,0.001,0.001,0.178,0.0
2024-01-03 22:00:00,0.001,0.001,0.10603141514120137,0.0
