,TumbleDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.001,0.0,0.04,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.11333333333333333,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.09866666666666667,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.04210347982352762,0.0,1.4
2024-01-01 01:00:00,0.001,0.0,0.0715521973529143,0.0,1.5
2024-01-01 01:15:00,0.001,0.0,0.0715521973529143,0.0,1.5
2024-01-01 01:30:00,0.001,0.0,0.0715521973529143,0.0,1.5
2024-01-01 01:45:00,0.001,0.0,0.13755219735291432,0.0,1.5
2024-01-01 02:00:00,0.001,0.0,0.13755219735291432,0.0,1.5
2024-01-01 02:15:00,0.001,0.0,0.04841391929411048,0.0,1.5
2024-01-01 02:30:00,0.001,0.0,0.04,0.0,1.5
2024-01-01 02:45:00,0.001,0.0,0.04,0.0,1.5
2024-01-01 03:00:00,0.001,0.0,0.04,0.0,1.2
2024-01-01 03:15:00,0.001,0.0,0.09866666666666667,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.11333333333333333,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.04,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.04,0.0,0.0
2024-01-01 04:15:00,0.001,0.0,0.04,0.0,0.0
2024-01-01 04:30:00,0.001,0.0,0.04,0.0,0.0
2024-01-01 04:45:00,0.001,0.0,0.09133333333333332,0.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.12066666666666667,0.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.04,0.0,0.0
2024-01-01 05:30:00,0.001,0.0,0.04,0.0,0.0
2024-01-01 05:45:00,0.001,0.0,0.04,0.9333333333333333,0.0
2024-01-01 06:00:00,0.001,0.0,0.04,4.2,0.0
2024-01-01 06:15:00,0.001,0.0,0.084,0.0,0.0
2024-01-01 06:30:00,0.001,0.0,0.128,0.0,0.2
2024-01-01 06:45:00,0.001,0.0,0.0447294969490694,0.0,1.5
2024-01-01 07:00:00,0.001,0.0,0.0518237423726735,0.0,0.6
2024-01-01 07:15:00,0.001,0.0,0.0518237423726735,0.0,0.3
2024-01-01 07:30:00,0.001,0.0,0.0518237423726735,0.9333333333333333,1.5
2024-01-01 07:45:00,0.001,0.0,0.4882904090393401,0.4666666666666667,1.5
2024-01-01 08:00:00,0.001,0.0,0.40817266259875923,0.0,1.5
2024-01-01 08:15:00,0.001,0.0,1.7293999999999998,0.0,1.5
2024-01-01 08:30:00,0.001,0.0,2.5618,0.0,1.5
2024-01-01 08:45:00,0.001,0.0,0.7473333333333333,0.0,1.5
