,TumbleDryer,DishWasher,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.001,0.0,0.001,0.28788553068624767
2024-01-01 00:15:00,0.001,0.0,0.001,0.10964377280391618
2024-01-01 00:30:00,0.001,0.0,0.001,0.0625521973529143
2024-01-01 00:45:00,0.001,0.0,0.001,0.0625521973529143
2024-01-01 01:00:00,0.001,0.0,0.001,0.0625521973529143
2024-01-01 01:15:00,0.001,0.0,0.001,0.1765521973529143
2024-01-01 01:30:00,0.001,0.0,0.001,0.3615521973529143
2024-01-01 01:45:00,0.001,0.0,0.001,0.5222487175293867
2024-01-01 02:00:00,0.001,0.0,0.001,0.030999999999999996
2024-01-01 02:15:00,0.001,0.0,0.001,0.43079999999999996
2024-01-01 02:30:00,0.001,0.0,0.001,0.030999999999999996
2024-01-01 02:45:00,0.001,0.0,0.001,0.08166666666666668
2024-01-01 03:00:00,0.001,0.0,0.001,0.3656666666666667
2024-01-01 03:15:00,0.001,0.0,0.001,0.3872
2024-01-01 03:30:00,0.001,0.0,0.001,0.29753333333333326
2024-01-01 03:45:00,0.001,0.0,0.001,0.030999999999999996
2024-01-01 04:00:00,0.001,0.0,0.001,0.030999999999999996
2024-01-01 04:15:00,0.001,0.0,0.001,0.030999999999999996
2024-01-01 04:30:00,0.001,0.0,0.001,0.8964
2024-01-01 04:45:00,0.001,0.0,0.001,0.7067333333333334
2024-01-01 05:00:00,0.001,0.0,0.001,0.030999999999999996
2024-01-01 05:15:00,0.001,0.0,0.001,0.030999999999999996
2024-01-01 05:30:00,0.001,0.0,0.001,0.030999999999999996
2024-01-01 05:45:00,0.001,0.0,0.001,0.04133333333333333
2024-01-01 06:00:00,0.001,0.0,0.001,0.3
2024-01-01 06:15:00,0.001,0.0,0.001,0.23620000000000002
2024-01-01 06:30:00,0.001,0.0,0.001,0.3105333333333334
2024-01-01 06:45:00,0.001,0.0,0.001,0.3105333333333334
2024-01-01 07:00:00,0.001,0.0,0.001,0.044
2024-01-01 07:15:00,0.001,0.0,0.001,0.4549333333333333
2024-01-01 07:30:00,0.001,0.0,0.001,0.23666666666666666
2024-01-01 07:45:00,0.001,0.0,0.001,0.24166666666666667
2024-01-01 08:00:00,0.001,0.0,0.001,0.06899999999999999
2024-01-01 08:15:00,0.001,0.0,0.001,0.030999999999999996
2024-01-01 08:30:00,0.001,0.0,0.001,0.03273333333333333
2024-01-01 08:45:00,0.001,0.0,0.001,0.075
2024-01-01 09:00:00,0.001,0.0,0.001,1.8966
2024-01-01 09:15:00,0.001,0.0,0.001,2.353666666666667
2024-01-01 09:30:00,0.001,0.0,0.001,0.42826666666666663
2024-01-01 09:45:00,0.001,0.0,0.001,0.04053333333333333
2024-01-01 10:00:00,0.001,0.0,0.001,0.0414
2024-01-01 10:15:00,0.001,0.0,0.001,0.08533333333333333
2024-01-01 10:30:00,0.001,0.0,0.001,0.20530599593209253
2024-01-01 10:45:00,0.001,0.0,0.001,0.1698237423726735
2024-01-01 11:00:00,0.001,0.0,0.001,2.0280237423726737
2024-01-01 11:15:00,0.001,0.0,0.001,2.1648237423726737
2024-01-01 11:30:00,0.001,0.0,0.001,0.8916237423726735
2024-01-01 11:45:00,0.001,0.0,0.001,0.4840431656496898
2024-01-01 12:00:00,0.001,0.0,0.001,0.17566666666666667
2024-01-01 12:15:00,0.001,0.0,0.001,0.08166666666666668
2024-01-01 12:30:00,0.001,0.0,0.001,0.23572435876469333
2024-01-01 12:45:00,0.001,0.0,0.001,0.10055219735291429
2024-01-01 13:00:00,0.001,0.30033333333333334,0.001,0.0625521973529143
2024-01-01 13:15:00,0.001,2.25,0.001,0.12849344481047215
2024-01-01 13:30:00,0.001,0.9006000000000001,0.001,0.20870927305892115
2024-01-01 13:45:00,0.001,1.2004666666666668,0.10380772589538387,0.6074426063922546
2024-01-01 14:00:00,0.001,0.0005333333333333334,0.20671234924320997,0.23067447482364492
2024-01-01 14:15:00,0.001,0.0,1.1731496535286334,0.14415707570600683
2024-01-01 14:30:00,0.001,0.0,0.1215106793706645,0.03967074440662723
2024-01-01 14:45:00,0.001,0.0,0.15265282371868386,0.21626666666666666
2024-01-01 15:00:00,0.001,0.0,0.30594172154070426,0.27599999999999997
