,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.242,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.15333333333333332,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.16566666666666666,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.16566666666666666,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.11533333333333333,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.242,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.09,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.145,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.18633333333333332,0.0,0.0,0.0
2024-01-01 02:45:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 03:00:00,0.001,0.17866666666666664,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.21666666666666667,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 03:45:00,0.001,0.12433333333333334,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.207,0.0,0.2,0.0
2024-01-01 04:15:00,0.001,0.052,0.0,3.0,0.0
2024-01-01 04:30:00,0.001,0.242,0.0,0.2,0.0
2024-01-01 04:45:00,0.001,0.15333333333333332,0.0,0.0,0.0
2024-01-01 05:00:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 05:15:00,0.001,0.10366666666666666,0.0,0.0,0.0
2024-01-01 05:30:00,0.001,0.207,0.0,2.6,0.0
2024-01-01 05:45:00,0.001,0.136,0.0,0.4,0.0
2024-01-01 06:00:00,0.001,0.242,0.0,0.0,0.0
2024-01-01 06:15:00,0.001,0.09,0.0,0.0,0.0
2024-01-01 06:30:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 06:45:00,0.001,0.08299999999999999,8.8,1.4,0.0
2024-01-01 07:00:00,0.001,0.207,11.0,3.0,0.0
2024-01-01 07:15:00,0.001,0.22,0.0,3.0,0.0
2024-01-01 07:30:00,0.001,0.21666666666666667,0.0,3.0,0.0
2024-01-01 07:45:00,0.001,0.052,0.0,3.0,0.0
2024-01-01 08:00:00,0.001,0.052,0.0,2.0,0.0
2024-01-01 08:15:00,0.001,0.06233333333333333,0.0,0.0,0.0
2024-01-01 08:30:00,0.001,0.207,0.0,0.0,0.0
2024-01-01 08:45:00,0.001,0.30400000000000005,0.0,0.0,0.0
2024-01-01 09:00:00,0.001,0.15333333333333332,0.0,0.0,0.0
2024-01-01 09:15:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 09:30:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 09:45:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 10:00:00,0.001,0.26,0.0,1.4,0.0
2024-01-01 10:15:00,0.001,0.32466666666666666,0.0,1.8,0.0
2024-01-01 10:30:00,0.001,0.09,0.0,0.0,2.0
2024-01-01 10:45:00,0.001,0.052,0.0,0.0,1.8
2024-01-01 11:00:00,0.001,0.16493333333333332,0.0,0.0,0.0
2024-01-01 11:15:00,0.001,0.18253333333333333,0.0,0.0,0.0
2024-01-01 11:30:00,0.001,0.4366666666666667,0.0,0.0,0.0
2024-01-01 11:45:00,0.001,0.454,0.0,0.0,0.0
2024-01-01 12:00:00,0.001,0.1108,0.0,0.0,0.0
2024-01-01 12:15:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 12:30:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 12:45:00,0.001,0.052,0.0,1.4,0.0
2024-01-01 13:00:00,0.001,0.3453333333333333,0.0,1.8,0.0
2024-01-01 13:15:00,0.001,0.2773333333333333,0.0,0.0,0.0
2024-01-01 13:30:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 13:45:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 14:00:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 14:15:00,0.001,0.11533333333333333,0.0,0.0,0.0
2024-01-01 14:30:00,0.001,0.32466666666666666,0.0,0.0,0.0
2024-01-01 14:45:00,0.001,0.23466666666666666,0.0,0.0,0.0
2024-01-01 15:00:00,0.001,0.052,0.0,0.0,0.0
2024-01-01 15:15:00,0.001,0.052,0.0,0.0,0.0
