,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.11688553068624764,0.0
2024-01-01 00:15:00,0.001,0.24634523770585906,0.0
2024-01-01 00:30:00,0.001,0.105,0.0
2024-01-01 00:45:00,0.001,0.029,0.0
2024-01-01 01:00:00,0.001,0.183,1.4
2024-01-01 01:15:00,0.001,0.2533333333333333,1.5
2024-01-01 01:30:00,0.001,0.23873333333333335,1.5
2024-01-01 01:45:00,0.001,0.385,1.5
2024-01-01 02:00:00,0.001,0.44833333333333336,0.0
2024-01-01 02:15:00,0.001,0.2962,0.0
2024-01-01 02:30:00,0.001,0.2808,1.2
2024-01-01 02:45:00,0.001,0.049666666666666665,1.5
2024-01-01 03:00:00,0.001,0.029,1.5
2024-01-01 03:15:00,0.001,0.041666666666666664,1.5
2024-01-01 03:30:00,0.001,0.219,1.5
2024-01-01 03:45:00,0.001,0.24166666666666667,1.5
2024-01-01 04:00:00,0.001,0.12200000000000001,1.5
2024-01-01 04:15:00,0.001,0.029,1.5
2024-01-01 04:30:00,0.001,0.029,1.5
2024-01-01 04:45:00,0.001,0.029,1.5
2024-01-01 05:00:00,0.001,0.182,1.2
2024-01-01 05:15:00,0.001,0.7738,0.0
2024-01-01 05:30:00,0.001,0.03933333333333333,0.0
2024-01-01 05:45:00,0.001,0.029,0.5
2024-01-01 06:00:00,0.001,0.029,1.5
2024-01-01 06:15:00,0.001,0.5620666666666667,1.5
2024-01-01 06:30:00,0.001,0.16333333333333336,1.5
2024-01-01 06:45:00,0.001,0.3016666666666667,1.4
2024-01-01 07:00:00,0.001,0.13033333333333333,0.0
2024-01-01 07:15:00,0.001,0.029,0.0
2024-01-01 07:30:00,0.001,0.029,0.0
2024-01-01 07:45:00,0.001,0.6240666666666667,0.0
2024-01-01 08:00:00,0.001,0.184,0.0
2024-01-01 08:15:00,0.001,0.11766666666666667,0.0
2024-01-01 08:30:00,0.001,0.6188,1.5
2024-01-01 08:45:00,0.001,0.049466666666666666,1.5
2024-01-01 09:00:00,0.001,0.042,1.5
2024-01-01 09:15:00,0.001,0.18666666666666668,1.5
2024-01-01 09:30:00,0.001,0.11433333333333334,1.5
2024-01-01 09:45:00,0.001,0.0316,0.7
2024-01-01 10:00:00,0.001,0.6061333333333334,0.0
2024-01-01 10:15:00,0.001,0.15982783858822097,0.0
2024-01-01 10:30:00,0.001,0.13288553068624764,0.0
2024-01-01 10:45:00,0.001,0.20521886401958098,0.0
2024-01-01 11:00:00,0.001,0.0605521973529143,0.0
2024-01-01 11:15:00,0.001,0.0605521973529143,0.0
2024-01-01 11:30:00,0.001,0.11972435876469335,0.0
2024-01-01 11:45:00,0.001,0.219,0.6
2024-01-01 12:00:00,0.001,0.20933333333333334,1.5
2024-01-01 12:15:00,0.001,0.091,1.5
2024-01-01 12:30:00,0.001,0.029,1.5
2024-01-01 12:45:00,0.001,0.029,1.5
2024-01-01 13:00:00,0.001,0.029,1.5
2024-01-01 13:15:00,0.001,0.2763333333333333,1.5
2024-01-01 13:30:00,0.001,0.29,1.5
2024-01-01 13:45:00,0.001,0.029,1.5
2024-01-01 14:00:00,0.001,0.029,1.5
2024-01-01 14:15:00,0.001,0.029,1.5
2024-01-01 14:30:00,0.001,0.03933333333333334,1.5
2024-01-01 14:45:00,0.001,0.24733333333333332,1.4
2024-01-01 15:00:00,0.001,0.40739102543135997,0.0
2024-01-01 15:15:00,0.001,0.2205521973529143,0.0
2024-01-01 15:30:00,0.001,0.18428553068624762,0.0
2024-01-01 15:45:00,0.001,0.2439521973529143,0.0
2024-01-01 16:00:00,0.001,0.2956855306862476,0.0
2024-01-01 16:15:00,0.001,0.31855219735291423,0.0
2024-01-01 16:30:00,0.001,0.3162368131568609,0.0
2024-01-01 16:45:00,0.001,0.28933333333333333,0.0
2024-01-01 17:00:00,0.001,0.08546666666666666,0.0
2024-01-01 17:15:00,0.001,0.049666666666666665,0.0
2024-01-01 17:30:00,0.001,0.21344871752938668,0.5
2024-01-01 17:45:00,0.001,0.10188553068624763,1.5
2024-01-01 18:00:00,0.001,0.943218864019581,1.5
2024-01-01 18:15:00,0.001,1.4985521973529143,0.1
2024-01-01 18:30:00,0.001,0.44401886401958096,0.0
2024-01-01 18:45:00,0.001,0.14495421227449906,0.0
2024-01-01 19:00:00,0.001,0.14266666666666666,0.0
2024-01-01 19:15:00,0.001,0.029,0.0
2024-01-01 19:30:00,0.001,0.029,0.0
2024-01-01 19:45:00,0.001,0.16833333333333333,0.0
2024-01-01 20:00:00,0.001,0.26033333333333336,0.0
2024-01-01 20:15:00,0.001,0.44,0.0
2024-01-01 20:30:00,0.001,0.39666666666666667,0.0
2024-01-01 20:45:00,0.001,0.422827838588221,0.0
2024-01-01 21:00:00,0.001,0.42975219735291426,0.0
2024-01-01 21:15:00,0.001,0.3649521973529143,0.4
2024-01-01 21:30:00,0.001,0.6069521973529143,1.5
2024-01-01 21:45:00,0.001,0.542818864019581,1.5
2024-01-01 22:00:00,0.001,0.4161382780588038,1.5
2024-01-01 22:15:00,0.001,0.4182417578823314,1.5
2024-01-01 22:30:00,0.001,0.4245521973529142,1.5
2024-01-01 22:45:00,0.001,0.41708553068624765,1.5
2024-01-01 23:00:00,0.001,0.9962855306862476,1.5
2024-01-01 23:15:00,0.001,0.38653131841174854,1.5
2024-01-01 23:30:00,0.001,0.2226,1.5
2024-01-01 23:45:00,0.001,0.6708000000000001,1.5
2024-01-02 00:00:00,0.001,0.271,1.5
2024-01-02 00:15:00,0.001,0.37886666666666663,1.5
2024-01-02 00:30:00,0.001,0.26833333333333337,1.5
2024-01-02 00:45:00,0.001,0.33193333333333336,1.5
2024-01-02 01:00:00,0.001,0.105,1.5
2024-01-02 01:15:00,0.001,0.029,1.5
2024-01-02 01:30:00,0.001,0.08066666666666666,1.5
2024-01-02 01:45:00,0.001,0.184,1.5
2024-01-02 02:00:00,0.001,0.03933333333333333,1.5
2024-01-02 02:15:00,0.001,0.143,1.5
2024-01-02 02:30:00,0.001,0.20633333333333334,1.5
2024-01-02 02:45:00,0.001,0.029,1.5
