,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.32124175788233145,0.0,0.0,0.0
2024-01-01 00:15:00,0.18306666666666666,0.0,0.0,1.0
2024-01-01 00:30:00,0.29239102543136003,0.0,0.0,1.3
2024-01-01 00:45:00,0.1603521973529143,0.0,0.0,0.0
2024-01-01 01:00:00,0.2095521973529143,0.0,0.0,0.0
2024-01-01 01:15:00,0.1785521973529143,0.0,0.0,0.1
2024-01-01 01:30:00,0.06241391929411048,0.0,0.0,1.5
2024-01-01 01:45:00,0.054,0.0,0.0,0.7
2024-01-01 02:00:00,0.15666666666666668,0.0,0.0,0.0
2024-01-01 02:15:00,0.11266666666666666,0.0,0.0,0.0
2024-01-01 02:30:00,0.209,0.0,0.0,0.7
2024-01-01 02:45:00,0.116,0.0,0.0,1.5
2024-01-01 03:00:00,0.054,0.0,0.0,1.5
2024-01-01 03:15:00,0.054,0.0,0.0,1.5
2024-01-01 03:30:00,0.15666666666666668,0.0,0.0,1.5
2024-01-01 03:45:00,0.1436666666666667,0.0,0.0,1.5
2024-01-01 04:00:00,0.209,0.0,0.0,1.5
2024-01-01 04:15:00,0.08499999999999999,0.0,0.8,1.5
2024-01-01 04:30:00,0.054,0.0,1.2,1.4
2024-01-01 04:45:00,0.054,0.0,0.0,0.0
2024-01-01 05:00:00,0.15666666666666668,0.0,0.6,1.3
2024-01-01 05:15:00,0.17466666666666666,0.0,0.0,0.8
2024-01-01 05:30:00,0.209,0.0,0.0,0.0
2024-01-01 05:45:00,0.054,0.0,0.0,0.8
2024-01-01 06:00:00,0.054,0.0,0.0,0.2
2024-01-01 06:15:00,0.054,0.0,0.0,0.0
2024-01-01 06:30:00,0.15666666666666668,0.0,0.6,0.0
2024-01-01 06:45:00,0.20913333333333334,0.0,0.0,0.9
2024-01-01 07:00:00,0.191,0.0,1.4,1.5
2024-01-01 07:15:00,0.067,0.0,3.0,1.5
2024-01-01 07:30:00,0.067,0.0,3.0,1.5
2024-01-01 07:45:00,0.06006666666666667,0.0,2.8,1.5
2024-01-01 08:00:00,0.15666666666666668,0.0,0.0,1.5
